Time_Passed	Percentage	Time
5	0.048172844	9:30:00
10	0.08059212	9:35:00
15	0.108147216	9:40:00
20	0.13321128	9:45:00
25	0.157858518	9:50:00
30	0.180359603	9:55:00
35	0.201797732	10:00:00
40	0.223162283	10:05:00
45	0.242276294	10:10:00
50	0.260072068	10:15:00
55	0.277008827	10:20:00
60	0.291805431	10:25:00
65	0.307175873	10:30:00
70	0.322403842	10:35:00
75	0.336631291	10:40:00
80	0.350661635	10:45:00
85	0.364146245	10:50:00
90	0.378103756	10:55:00
95	0.392142536	11:00:00
100	0.405137479	11:05:00
105	0.417753305	11:10:00
110	0.429204098	11:15:00
115	0.440679814	11:20:00
120	0.452069474	11:25:00
125	0.462860235	11:30:00
130	0.472691428	11:35:00
135	0.482982041	11:40:00
140	0.492894776	11:45:00
145	0.503074758	11:50:00
150	0.51245983	11:55:00
155	0.522132071	12:00:00
160	0.531547793	12:05:00
165	0.54094968	12:10:00
170	0.550144492	12:15:00
175	0.558332157	12:20:00
180	0.566251213	12:25:00
185	0.574468703	12:30:00
190	0.582617175	12:35:00
195	0.589845983	12:40:00
200	0.597377067	12:45:00
205	0.605360899	12:50:00
210	0.613155596	12:55:00
215	0.620473509	13:00:00
220	0.628435814	13:05:00
225	0.635875729	13:10:00
230	0.643458309	13:15:00
235	0.651079646	13:20:00
240	0.658718503	13:25:00
245	0.666580471	13:30:00
250	0.674311226	13:35:00
255	0.682543374	13:40:00
260	0.690286279	13:45:00
265	0.697748135	13:50:00
270	0.705399293	13:55:00
275	0.713553195	14:00:00
280	0.72134848	14:05:00
285	0.72922705	14:10:00
290	0.737044829	14:15:00
295	0.745726843	14:20:00
300	0.753700078	14:25:00
305	0.761124844	14:30:00
310	0.768857345	14:35:00
315	0.776779931	14:40:00
320	0.785076479	14:45:00
325	0.794109967	14:50:00
330	0.802252429	14:55:00
335	0.81039215	15:00:00
340	0.818748785	15:05:00
345	0.826759435	15:10:00
350	0.834977559	15:15:00
355	0.844796062	15:20:00
360	0.856033339	15:25:00
365	0.867042488	15:30:00
370	0.878832332	15:35:00
375	0.891641918	15:40:00
380	0.907434288	15:45:00
385	0.927495755	15:50:00
390	0.991368801	15:55:00
395	1	16:00:00
